Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
99,-0.129771,-0.083969,0.198473,0.007080,-0.005127,0.993408,0.00,0.00,0.00
100,0.160305,-0.129771,-0.091603,-0.000732,-0.003662,1.005127,0.00,0.00,0.00
101,-0.053435,-0.015267,0.038168,-0.003418,-0.010986,0.994873,0.00,0.00,0.00
102,0.038168,-0.007634,0.106870,0.003662,-0.013428,1.005615,0.00,0.00,0.00
103,0.068702,-0.160305,-0.190840,0.005859,-0.010498,0.995117,0.00,0.00,0.00
104,-0.229008,-0.183206,0.045802,-0.001221,-0.005859,1.007080,0.00,0.00,0.00
105,-0.022901,0.137405,0.007634,0.002441,-0.008545,1.000977,0.00,0.00,0.00
106,-0.122137,0.030534,0.000000,0.005859,-0.007568,0.993408,0.00,0.00,0.00
107,-0.190840,-0.068702,0.061069,0.004883,-0.007812,1.015381,0.00,0.00,0.00
108,-0.007634,0.022901,0.038168,0.006836,-0.004150,0.998291,0.00,0.00,0.00
109,-0.030534,-0.114504,0.022901,0.000244,-0.005615,0.995605,0.00,0.00,0.00
110,-0.068702,0.091603,-0.038168,-0.001709,-0.003662,1.002197,0.00,0.00,0.00
111,-0.129771,-0.091603,0.114504,0.000000,-0.006348,0.992432,0.00,0.00,0.00
112,0.030534,-0.259542,-0.160305,0.000244,-0.007812,0.996094,0.00,0.00,0.00
113,-0.106870,0.129771,-0.061069,0.005127,-0.004883,1.000488,0.00,0.00,0.00
114,0.129771,-0.045802,0.160305,-0.002441,-0.000732,0.994629,0.00,0.00,0.00
115,0.045802,0.000000,-0.091603,-0.001465,-0.004150,1.008057,0.00,0.00,0.00
116,0.038168,-0.030534,-0.007634,0.001221,-0.008301,0.990234,0.00,0.00,0.00
117,-0.083969,-0.045802,0.022901,0.000244,-0.003174,0.996094,0.00,0.00,0.00
118,0.083969,0.122137,0.145038,0.000977,-0.010742,1.005371,0.00,0.00,0.00
119,0.114504,0.038168,-0.022901,0.004883,-0.004150,1.000488,0.00,0.00,0.00
120,0.183206,0.091603,-0.137405,-0.000732,-0.009766,0.998779,0.00,0.00,0.00
121,0.145038,0.137405,-0.030534,0.003906,-0.008057,0.997314,0.00,0.00,0.00
122,-0.030534,-0.068702,-0.030534,0.002930,-0.009766,1.005127,0.00,0.00,0.00
123,0.083969,-0.030534,-0.061069,0.006836,-0.016602,0.993896,0.00,0.00,0.00
124,-0.038168,0.022901,-0.007634,0.008057,-0.006592,1.000000,0.00,0.00,0.00
125,-0.114504,-0.106870,-0.061069,0.001709,-0.008789,0.995605,0.00,0.00,0.00
126,0.183206,0.160305,-0.038168,-0.004639,-0.008057,1.001953,0.00,0.00,0.00
127,-0.091603,-0.083969,-0.160305,0.004883,-0.006836,0.999023,0.00,0.00,0.00
