Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
82,-0.312977,0.213740,-0.053435,0.024170,-0.991699,-0.106689,0.00,0.00,0.00
83,-0.427481,0.038168,-0.061069,0.025635,-0.987061,-0.105225,0.00,0.00,0.00
84,-0.145038,-0.099237,-0.251908,0.025391,-0.988281,-0.101318,0.00,0.00,0.00
85,-0.244275,0.000000,-0.267176,0.023438,-0.987549,-0.107178,0.00,0.00,0.00
86,-0.297710,-0.190840,-0.152672,0.024902,-0.984131,-0.106689,0.00,0.00,0.00
87,-0.022901,-0.137405,-0.251908,0.026611,-0.990723,-0.104004,0.00,0.00,0.00
88,-0.083969,-0.267176,-0.183206,0.021484,-0.987061,-0.112793,0.00,0.00,0.00
89,0.007634,-0.526718,0.045802,0.024170,-0.985352,-0.104736,0.00,0.00,0.00
90,-0.213740,-0.442748,-0.068702,0.023926,-0.986328,-0.104736,0.00,0.00,0.00
91,0.045802,-0.305344,-0.061069,0.020996,-0.987305,-0.110352,0.00,0.00,0.00
92,0.068702,-0.381679,-0.160305,0.028564,-0.988770,-0.106201,0.00,0.00,0.00
93,0.152672,-0.748092,-0.137405,0.014648,-0.986328,-0.109863,0.00,0.00,0.00
94,0.167939,-0.526718,-0.236641,0.010742,-0.979248,-0.103760,0.00,0.00,0.00
95,0.190840,-0.641221,-0.610687,0.020752,-0.978027,-0.105957,0.00,0.00,0.00
96,-0.068702,-0.679389,-0.511450,0.021240,-0.980957,-0.115234,0.00,0.00,0.00
97,0.053435,-0.694656,-0.480916,0.023682,-0.982910,-0.109375,0.00,0.00,0.00
98,0.206107,-0.694656,-0.267176,0.026367,-0.988770,-0.111084,0.00,0.00,0.00
99,0.679389,-0.587786,-0.076336,0.015625,-0.985840,-0.102295,0.00,0.00,0.00
100,0.625954,-1.129771,-0.038168,0.011230,-0.989258,-0.102539,0.00,0.00,0.00
101,0.297710,-1.076336,-0.114504,0.007568,-0.982910,-0.093262,0.00,0.00,0.00
102,0.137405,-1.358779,-0.061069,0.014893,-0.978271,-0.101318,0.00,0.00,0.00
103,0.083969,-3.061069,1.656489,0.023682,-0.937256,-0.090088,0.00,0.00,0.00
104,-0.755725,-3.114504,0.083969,0.006836,-1.004639,-0.115234,0.00,0.00,0.00
105,0.496183,-1.954198,0.007634,0.050049,-0.991455,-0.115234,0.00,0.00,0.00
106,0.465649,-1.244275,0.374046,0.037354,-0.977783,-0.108154,0.00,0.00,0.00
107,0.931298,-0.335878,0.206107,0.031250,-0.985352,-0.116455,0.00,0.00,0.00
108,0.870229,-0.603053,0.236641,0.018799,-0.982178,-0.114990,0.00,0.00,0.00
109,0.786260,-1.229008,0.740458,0.024902,-0.982422,-0.103271,0.00,0.00,0.00
