Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
127,-4.030534,5.198473,-7.664122,-0.109131,-0.946289,-0.214600,0.00,0.00,0.00
128,-4.297710,4.435115,-7.618321,-0.107910,-0.944824,-0.220215,0.00,0.00,0.00
129,-4.190840,3.748092,-7.381679,-0.097900,-0.947998,-0.223633,0.00,0.00,0.00
130,-4.274809,3.358779,-7.503817,-0.095459,-0.950684,-0.229736,0.00,0.00,0.00
131,-4.511450,2.938931,-7.488550,-0.099609,-0.951172,-0.219727,0.00,0.00,0.00
132,-4.129771,2.427481,-7.229008,-0.103760,-0.944580,-0.224365,0.00,0.00,0.00
133,-4.114504,2.091603,-7.290076,-0.107422,-0.951660,-0.228516,0.00,0.00,0.00
134,-4.458015,2.030534,-7.312977,-0.101318,-0.950195,-0.227295,0.00,0.00,0.00
135,-4.236641,2.267176,-7.022901,-0.094727,-0.951660,-0.235840,0.00,0.00,0.00
136,-4.137405,2.335878,-7.099237,-0.097168,-0.949951,-0.239502,0.00,0.00,0.00
137,-3.931298,2.801527,-6.984733,-0.094727,-0.958008,-0.232422,0.00,0.00,0.00
138,-4.206107,2.740458,-7.244275,-0.088135,-0.961670,-0.227051,0.00,0.00,0.00
139,-4.106870,2.687023,-7.274809,-0.091064,-0.960938,-0.218994,0.00,0.00,0.00
140,-4.419847,2.709924,-7.335878,-0.092773,-0.969971,-0.209473,0.00,0.00,0.00
141,-4.335878,2.305344,-7.404580,-0.092529,-0.958008,-0.217041,0.00,0.00,0.00
142,-4.595420,1.740458,-7.511450,-0.095947,-0.961670,-0.213867,0.00,0.00,0.00
143,-4.641221,1.160305,-7.778626,-0.095703,-0.960205,-0.227051,0.00,0.00,0.00
144,-5.007634,0.877863,-7.977099,-0.104736,-0.958984,-0.219482,0.00,0.00,0.00
145,-5.145038,0.900763,-8.389313,-0.110352,-0.950439,-0.218506,0.00,0.00,0.00
146,-5.572519,0.381679,-8.526718,-0.114502,-0.943848,-0.220459,0.00,0.00,0.00
147,-6.114504,0.610687,-9.045802,-0.113037,-0.951904,-0.220459,0.00,0.00,0.00
148,-6.038168,0.625954,-9.580153,-0.098877,-0.951904,-0.213867,0.00,0.00,0.00
149,-6.458015,0.312977,-10.068702,-0.106445,-0.951660,-0.221436,0.00,0.00,0.00
150,-6.564885,-0.068702,-10.427481,-0.105713,-0.942383,-0.215088,0.00,0.00,0.00
151,-6.908397,-0.587786,-10.885496,-0.118408,-0.939941,-0.220703,0.00,0.00,0.00
152,-7.572519,-1.427481,-11.351145,-0.120605,-0.941162,-0.232178,0.00,0.00,0.00
153,-7.557252,-1.740458,-11.908397,-0.138916,-0.944824,-0.244385,0.00,0.00,0.00
154,-8.900763,-1.244275,-12.641221,-0.143311,-0.945557,-0.215332,0.00,0.00,0.00
155,-9.625954,-1.312977,-13.198473,-0.129395,-0.946045,-0.221191,0.00,0.00,0.00
156,-10.038168,-2.351145,-13.625954,-0.112061,-0.952881,-0.216064,0.00,0.00,0.00
157,-10.152672,-2.312977,-14.351145,-0.085449,-0.951172,-0.234619,0.00,0.00,0.00
158,-10.709924,-3.114504,-14.435115,-0.086182,-0.962646,-0.219727,0.00,0.00,0.00
159,-10.916031,-2.954198,-14.595420,-0.061523,-0.965332,-0.222168,0.00,0.00,0.00
160,-10.412214,-2.160305,-15.290076,-0.047852,-0.924561,-0.238037,0.00,0.00,0.00
161,-10.488550,-3.793893,-14.320611,-0.066650,-0.954590,-0.232178,0.00,0.00,0.00
162,-10.877863,-3.778626,-14.488550,-0.086914,-0.955811,-0.239990,0.00,0.00,0.00
163,-9.206107,-2.244275,-15.404580,-0.059814,-0.937256,-0.246094,0.00,0.00,0.00
164,-10.679389,-4.190840,-14.885496,-0.079834,-0.947021,-0.241699,0.00,0.00,0.00
165,-9.648855,-4.030534,-15.541985,-0.077881,-0.969971,-0.245605,0.00,0.00,0.00
166,-10.709924,-4.709924,-15.068702,-0.077637,-0.971680,-0.251953,0.00,0.00,0.00
167,-10.374046,-4.717557,-15.595420,-0.065918,-0.969727,-0.240723,0.00,0.00,0.00
168,-9.770992,-5.007634,-15.091603,-0.048096,-0.956299,-0.246094,0.00,0.00,0.00
169,-10.984733,-4.832061,-14.221374,-0.042725,-0.960938,-0.235352,0.00,0.00,0.00
170,-8.541985,-2.977099,-14.381679,0.001465,-0.988525,-0.220215,0.00,0.00,0.00
171,-11.221374,-4.061069,-12.381679,-0.004395,-0.972168,-0.229736,0.00,0.00,0.00
172,-10.671756,-3.664122,-11.572519,0.017334,-0.967773,-0.234619,0.00,0.00,0.00
173,-9.839695,-3.587786,-10.221374,0.035889,-0.978027,-0.238037,0.00,0.00,0.00
174,-10.648855,-3.916031,-8.740458,0.008545,-0.982422,-0.252441,0.00,0.00,0.00
175,-7.480916,-1.847328,-8.595420,0.041504,-0.984619,-0.256104,0.00,0.00,0.00
176,-10.488550,-3.648855,-6.587786,-0.004395,-0.976562,-0.261475,0.00,0.00,0.00
177,-9.389313,-3.419847,-5.816794,-0.013672,-0.992920,-0.277588,0.00,0.00,0.00
178,-6.694656,-2.145038,-5.549618,0.003418,-0.994385,-0.256348,0.00,0.00,0.00
179,-9.717557,-2.167939,-4.091603,-0.031738,-0.989990,-0.268555,0.00,0.00,0.00
180,-8.557252,-2.480916,-3.320611,-0.015137,-0.980957,-0.277832,0.00,0.00,0.00
181,-8.244275,-2.152672,-2.725191,0.009766,-0.974365,-0.271729,0.00,0.00,0.00
182,-4.694656,1.335878,-2.648855,0.045898,-0.954590,-0.251709,0.00,0.00,0.00
183,-8.740458,1.137405,-0.244275,-0.017334,-0.972656,-0.268066,0.00,0.00,0.00
184,-7.595420,1.557252,0.648855,-0.011719,-0.979492,-0.251709,0.00,0.00,0.00
185,-7.229008,2.396947,1.480916,-0.023193,-0.960693,-0.263184,0.00,0.00,0.00
186,-6.954198,3.091603,1.938931,-0.020996,-0.955078,-0.275635,0.00,0.00,0.00
187,-5.259542,2.404580,3.183206,-0.019531,-0.971436,-0.270264,0.00,0.00,0.00
188,-6.480916,3.198473,3.259542,-0.072510,-0.992432,-0.286621,0.00,0.00,0.00
189,-6.091603,3.244275,2.984733,-0.068115,-0.979248,-0.274170,0.00,0.00,0.00
190,-5.633588,3.358779,2.816794,-0.067383,-0.957031,-0.289062,0.00,0.00,0.00
191,-5.832061,3.549618,2.877863,-0.066406,-0.955078,-0.287354,0.00,0.00,0.00
192,-4.778626,5.450382,0.679389,-0.038574,-0.877197,-0.272461,0.00,0.00,0.00
193,-6.259542,1.748092,3.770992,-0.036621,-0.953369,-0.264893,0.00,0.00,0.00
194,-5.427481,1.656489,3.541985,-0.062012,-0.963379,-0.271729,0.00,0.00,0.00
195,-5.137405,1.748092,3.458015,-0.038330,-0.951172,-0.261963,0.00,0.00,0.00
196,-5.488550,2.549618,3.618321,-0.045410,-0.941162,-0.261230,0.00,0.00,0.00
197,-5.900763,4.572519,3.916031,-0.040527,-0.944824,-0.243408,0.00,0.00,0.00
198,-6.152672,4.770992,3.938931,-0.055176,-0.940674,-0.213623,0.00,0.00,0.00
199,-6.702290,5.977099,3.664122,-0.063965,-0.946777,-0.208008,0.00,0.00,0.00
200,-6.267176,5.053435,3.977099,-0.053223,-0.962158,-0.206787,0.00,0.00,0.00
201,-9.114504,6.816794,4.137405,-0.123047,-0.981445,-0.238770,0.00,0.00,0.00
202,-9.702290,6.282443,2.488550,-0.088135,-0.949219,-0.197266,0.00,0.00,0.00
203,-9.206107,5.251908,1.312977,-0.069580,-0.963135,-0.174561,0.00,0.00,0.00
204,-12.931298,5.213740,2.183206,-0.121826,-0.970459,-0.217529,0.00,0.00,0.00
205,-12.458015,6.488550,-1.396947,-0.049316,-0.891602,-0.226074,0.00,0.00,0.00
206,-13.618321,2.458015,0.877863,-0.052734,-0.957520,-0.238281,0.00,0.00,0.00
207,-13.297710,3.305344,0.358779,-0.096680,-0.975098,-0.269043,0.00,0.00,0.00
208,-10.740458,4.083969,-2.381679,-0.067139,-0.943848,-0.271973,0.00,0.00,0.00
209,-13.763359,2.236641,-0.526718,-0.134521,-0.941650,-0.307373,0.00,0.00,0.00
210,-12.816794,3.167939,-1.381679,-0.113037,-0.937256,-0.306152,0.00,0.00,0.00
211,-12.236641,3.045802,-1.900763,-0.050781,-0.939453,-0.281006,0.00,0.00,0.00
212,-13.053435,4.557252,-0.740458,-0.082275,-0.963623,-0.294189,0.00,0.00,0.00
213,-11.946565,8.625954,-3.358779,-0.017822,-0.897461,-0.259521,0.00,0.00,0.00
214,-11.755725,5.816794,-1.312977,-0.012451,-0.961182,-0.252441,0.00,0.00,0.00
215,-12.603053,7.015267,-0.496183,-0.076172,-0.974854,-0.272461,0.00,0.00,0.00
216,-9.717557,10.236641,-4.183206,-0.011230,-0.950928,-0.280273,0.00,0.00,0.00
217,-12.938931,6.229008,-0.549618,-0.058838,-0.975586,-0.308350,0.00,0.00,0.00
218,-11.717557,5.572519,-2.175573,-0.065186,-0.970703,-0.321533,0.00,0.00,0.00
