Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
136,-0.03053,-0.03817,-0.02290,0.08960,-0.07104,0.99438,0.00,0.00,0.00
137,0.12214,-0.15267,-0.26718,0.08887,-0.06689,0.98413,0.00,0.00,0.00
138,-0.12977,-0.04580,-0.20611,0.08765,-0.07104,0.99414,0.00,0.00,0.00
139,-0.03817,-0.01527,-0.07634,0.08887,-0.06763,0.98877,0.00,0.00,0.00
140,-0.08397,-0.02290,-0.01527,0.09009,-0.07227,0.98071,0.00,0.00,0.00
141,-0.01527,-0.20611,0.13740,0.09180,-0.07593,0.99316,0.00,0.00,0.00
142,0.01527,0.06870,-0.03817,0.09277,-0.07056,0.99072,0.00,0.00,0.00
143,-0.17557,0.06107,-0.25191,0.08813,-0.07764,0.98755,0.00,0.00,0.00
144,0.19847,0.15267,-0.18321,0.09033,-0.07617,0.99365,0.00,0.00,0.00
145,0.07634,-0.06107,-0.02290,0.09106,-0.07007,0.98901,0.00,0.00,0.00
146,0.00763,0.00763,-0.14504,0.09668,-0.07495,0.98804,0.00,0.00,0.00
147,0.04580,0.06107,0.00000,0.09106,-0.07471,0.99341,0.00,0.00,0.00
148,-0.00763,-0.03053,-0.08397,0.09033,-0.07471,0.99268,0.00,0.00,0.00
149,-0.12977,0.10687,-0.07634,0.09082,-0.07739,0.99316,0.00,0.00,0.00
150,-0.09924,0.04580,-0.14504,0.08813,-0.07251,0.98486,0.00,0.00,0.00
151,-0.06870,0.00000,-0.13740,0.08911,-0.06836,0.99243,0.00,0.00,0.00
152,-0.05344,0.25954,-0.16031,0.08691,-0.07446,0.98560,0.00,0.00,0.00
153,-0.08397,0.02290,-0.06870,0.09033,-0.07227,0.99634,0.00,0.00,0.00
154,-0.19084,0.11450,-0.19847,0.09033,-0.07080,0.98462,0.00,0.00,0.00
155,-0.14504,-0.09160,-0.09924,0.08740,-0.07153,0.98828,0.00,0.00,0.00
156,-0.06107,0.17557,-0.12214,0.09399,-0.06909,0.98975,0.00,0.00,0.00
157,-0.09924,-0.12214,-0.21374,0.09131,-0.06763,0.98511,0.00,0.00,0.00
158,-0.03053,-0.03053,-0.09160,0.09180,-0.07495,0.99268,0.00,0.00,0.00
159,0.03053,0.24427,-0.04580,0.09082,-0.07324,0.98999,0.00,0.00,0.00
160,-0.16794,0.10687,-0.00763,0.08911,-0.07446,0.99194,0.00,0.00,0.00
161,-0.19084,-0.03053,-0.10687,0.09180,-0.07495,0.99951,0.00,0.00,0.00
162,0.06870,-0.05344,-0.07634,0.08936,-0.07422,0.98853,0.00,0.00,0.00
163,-0.12214,0.05344,-0.19084,0.08960,-0.07422,0.98462,0.00,0.00,0.00
164,-0.08397,-0.01527,-0.06870,0.08887,-0.06909,0.99023,0.00,0.00,0.00
165,-0.10687,0.25954,-0.32061,0.08569,-0.08032,0.99121,0.00,0.00,0.00
166,-0.05344,0.07634,-0.03817,0.09180,-0.07104,0.99854,0.00,0.00,0.00
167,0.03817,0.14504,-0.15267,0.08447,-0.06812,0.98853,0.00,0.00,0.00
168,-0.11450,0.14504,-0.28244,0.08936,-0.07642,0.98535,0.00,0.00,0.00
169,-0.15267,-0.05344,-0.08397,0.09131,-0.07056,0.98975,0.00,0.00,0.00
170,0.03817,-0.03817,-0.08397,0.09058,-0.07520,0.98926,0.00,0.00,0.00
171,0.16794,0.19847,0.01527,0.09277,-0.07300,0.98413,0.00,0.00,0.00
172,-0.03053,0.02290,-0.22901,0.08740,-0.07056,0.98682,0.00,0.00,0.00
173,0.07634,0.12214,-0.09160,0.09424,-0.07104,0.99023,0.00,0.00,0.00
174,0.06107,0.18321,-0.25954,0.09155,-0.07153,0.99072,0.00,0.00,0.00
175,-0.16031,0.08397,-0.09924,0.08740,-0.07007,0.98853,0.00,0.00,0.00
176,-0.16794,0.09160,-0.03817,0.09204,-0.07080,0.98779,0.00,0.00,0.00
177,-0.23664,0.20611,-0.03817,0.09277,-0.07251,0.99438,0.00,0.00,0.00
178,0.09160,0.06870,-0.21374,0.08398,-0.07373,0.99243,0.00,0.00,0.00
179,0.14504,0.21374,-0.01527,0.08911,-0.07202,0.99390,0.00,0.00,0.00
180,-0.12977,-0.03053,-0.19847,0.08691,-0.06689,0.98755,0.00,0.00,0.00
181,0.11450,0.23664,-0.07634,0.08765,-0.07178,0.98682,0.00,0.00,0.00
182,-0.03817,0.18321,-0.01527,0.09229,-0.07080,0.99194,0.00,0.00,0.00
183,0.16794,-0.03053,0.12214,0.09326,-0.06934,0.98755,0.00,0.00,0.00
184,-0.00763,0.09924,-0.17557,0.09277,-0.06860,0.99438,0.00,0.00,0.00
185,-0.00763,0.04580,-0.06107,0.08936,-0.07031,0.98682,0.00,0.00,0.00
186,0.17557,0.01527,-0.19847,0.08813,-0.07227,0.99072,0.00,0.00,0.00
187,-0.03053,0.10687,-0.19847,0.08716,-0.07275,0.99390,0.00,0.00,0.00
188,-0.19847,-0.02290,-0.12214,0.08203,-0.07397,0.98804,0.00,0.00,0.00
189,0.01527,0.05344,0.00763,0.08667,-0.07886,0.98706,0.00,0.00,0.00
190,-0.29008,0.06107,-0.10687,0.09131,-0.06738,0.98999,0.00,0.00,0.00
191,-0.02290,0.05344,-0.17557,0.08838,-0.07642,0.99023,0.00,0.00,0.00
192,-0.14504,0.02290,-0.16794,0.08643,-0.07495,0.99219,0.00,0.00,0.00
193,0.04580,-0.16794,-0.30534,0.08521,-0.07300,0.99170,0.00,0.00,0.00
194,0.00000,0.21374,-0.19084,0.08667,-0.08301,0.98682,0.00,0.00,0.00
195,-0.16031,0.03817,-0.03053,0.08960,-0.07007,0.98389,0.00,0.00,0.00
196,-0.08397,0.23664,-0.01527,0.08960,-0.07495,0.98804,0.00,0.00,0.00
197,0.10687,0.11450,-0.07634,0.08716,-0.06934,0.98999,0.00,0.00,0.00
198,-0.16031,0.00763,-0.13740,0.08936,-0.07568,1.00073,0.00,0.00,0.00
199,-0.06107,-0.17557,-0.25191,0.08716,-0.07007,0.99146,0.00,0.00,0.00
200,-0.15267,0.06870,-0.17557,0.08765,-0.07153,0.99268,0.00,0.00,0.00
201,-0.11450,0.03817,-0.06107,0.09180,-0.07104,0.98804,0.00,0.00,0.00
202,-0.28244,0.11450,-0.25191,0.09424,-0.07153,0.98315,0.00,0.00,0.00
203,-0.14504,0.13740,-0.25954,0.08936,-0.07568,0.99829,0.00,0.00,0.00
204,-0.22137,0.16794,-0.10687,0.09033,-0.07300,0.99097,0.00,0.00,0.00
205,-0.22901,-0.00763,-0.19084,0.09424,-0.07324,0.98828,0.00,0.00,0.00
206,-0.12214,0.12977,-0.25191,0.09106,-0.06958,0.98535,0.00,0.00,0.00
207,-0.18321,0.19847,-0.22137,0.08594,-0.07104,0.99414,0.00,0.00,0.00
208,-0.00763,0.12977,-0.02290,0.08911,-0.07104,0.99341,0.00,0.00,0.00
209,0.08397,-0.09924,-0.19084,0.08740,-0.07178,0.98511,0.00,0.00,0.00
210,0.04580,-0.00763,-0.05344,0.09204,-0.07690,0.98560,0.00,0.00,0.00
211,-0.19847,-0.09924,-0.21374,0.08887,-0.07324,0.99609,0.00,0.00,0.00
212,-0.03053,0.12214,-0.33588,0.09155,-0.07690,0.99609,0.00,0.00,0.00
213,-0.12977,0.09924,-0.06107,0.09253,-0.07251,0.99194,0.00,0.00,0.00
214,-0.03817,0.16031,-0.15267,0.09351,-0.06934,0.99316,0.00,0.00,0.00
215,0.12214,-0.11450,-0.13740,0.08398,-0.07202,0.98950,0.00,0.00,0.00
216,-0.14504,0.22137,-0.11450,0.08472,-0.07568,0.99121,0.00,0.00,0.00
217,-0.07634,0.06107,-0.10687,0.09155,-0.07324,0.98218,0.00,0.00,0.00
218,-0.10687,-0.06107,-0.20611,0.09326,-0.07153,0.99658,0.00,0.00,0.00
219,-0.22901,-0.15267,-0.29008,0.09302,-0.06812,0.99585,0.00,0.00,0.00
220,0.01527,0.12214,-0.06107,0.09253,-0.07129,0.99048,0.00,0.00,0.00
221,-0.03817,0.12214,-0.21374,0.08862,-0.07397,0.99902,0.00,0.00,0.00
222,-0.16031,0.16031,-0.05344,0.08740,-0.06958,0.99536,0.00,0.00,0.00
223,-0.08397,0.12977,-0.08397,0.08960,-0.07300,0.98389,0.00,0.00,0.00
224,-0.03053,0.18321,-0.23664,0.09033,-0.07910,1.00171,0.00,0.00,0.00
225,-0.00763,-0.00763,-0.11450,0.08618,-0.07129,0.99243,0.00,0.00,0.00
226,0.08397,0.09160,-0.19084,0.09644,-0.06958,0.98828,0.00,0.00,0.00
